Id de pedido;Fecha de pedido;Empleado;Nombre del cliente;Nombre del producto;Ventas;Estado o provincia;País o región;Id de empleado;Id de producto;Id de cliente;Año;Mes;Trimestre;Nombre de mes;Categoría;Producto;Cliente;MesDeTrimestre;Margen
30;15/01/2006;Francisco Chaves;Compañía AA;Cerveza Northwind Traders;1400,00;NV;España;9;34;27;2006;1;1;enero;Bebidas;Cerveza Northwind Traders;Compañía AA;1;910,00
30;15/01/2006;Francisco Chaves;Compañía AA;Ciruelas pasas Northwind Traders;105,00;NV;España;9;80;27;2006;1;1;enero;Frutos secos;Ciruelas pasas Northwind Traders;Compañía AA;1;68,25
31;20/01/2006;Pilar Pinilla Gallego;Compañía D;Peras secas Northwind Traders;300,00;NY;España;3;7;4;2006;1;1;enero;Frutos secos;Peras secas Northwind Traders;Compañía D;1;228,00
31;20/01/2006;Pilar Pinilla Gallego;Compañía D;Manzanas secas Northwind Traders;530,00;NY;España;3;51;4;2006;1;1;enero;Frutos secos;Manzanas secas Northwind Traders;Compañía D;1;402,80
31;20/01/2006;Pilar Pinilla Gallego;Compañía D;Ciruelas pasas Northwind Traders;35,00;NY;España;3;80;4;2006;1;1;enero;Frutos secos;Ciruelas pasas Northwind Traders;Compañía D;1;29,40
32;22/01/2006;María Jesús Cuesta;Compañía L;Té Chai Northwind Traders;270,00;NV;España;4;1;12;2006;1;1;enero;Bebidas;Té Chai Northwind Traders;Compañía L;1;175,50
32;22/01/2006;María Jesús Cuesta;Compañía L;Café Northwind Traders;920,00;NV;España;4;43;12;2006;1;1;enero;Bebidas;Café Northwind Traders;Compañía L;1;598,00
33;30/01/2006;Juan Carlos Rivas;Compañía H;Galletas de chocolate surtidas Northwind Traders;276,00;OR;España;6;19;8;2006;1;1;enero;Productos horneados;Galletas de chocolate surtidas Northwind Traders;Compañía H;1;231,84
34;06/02/2006;Francisco Chaves;Compañía D;Galletas de chocolate surtidas Northwind Traders;184,00;NY;España;9;19;4;2006;2;1;febrero;Productos horneados;Galletas de chocolate surtidas Northwind Traders;Compañía D;2;139,84
35;10/02/2006;Pilar Pinilla Gallego;Compañía CC;Chocolate Northwind Traders;127,50;CO;España;3;48;29;2006;2;1;febrero;Golosinas;Chocolate Northwind Traders;Compañía CC;2;73,95
36;23/02/2006;María Jesús Cuesta;Compañía C;Sopa de almejas Northwind Traders;1930,00;CA;España;4;41;3;2006;2;1;febrero;Sopas;Sopa de almejas Northwind Traders;Compañía C;2;1621,20
37;06/03/2006;Luis Bonifaz;Compañía F;Salsa curry Northwind Traders;680,00;WI;España;8;8;6;2006;3;1;marzo;Salsas;Salsa curry Northwind Traders;Compañía F;0;571,20
38;10/03/2006;Francisco Chaves;Compañía BB;Café Northwind Traders;13800,00;TN;España;9;43;28;2006;3;1;marzo;Bebidas;Café Northwind Traders;Compañía BB;0;8004,00
39;22/03/2006;Pilar Pinilla Gallego;Compañía H;Chocolate Northwind Traders;1275,00;OR;España;3;48;8;2006;3;1;marzo;Golosinas;Chocolate Northwind Traders;Compañía H;0;1071,00
40;24/03/2006;María Jesús Cuesta;Compañía J;Té verde Northwind Traders;598,00;IL;España;4;81;10;2006;3;1;marzo;Bebidas;Té verde Northwind Traders;Compañía J;0;502,32
42;24/03/2006;María González;Compañía J;Mermelada de moras y frambuesas Northwind Traders;250,00;IL;España;1;6;10;2006;3;1;marzo;Mermeladas y confituras;Mermelada de moras y frambuesas Northwind Traders;Compañía J;0;162,50
42;24/03/2006;María González;Compañía J;Condimentos de Louisiana Northwind Traders;220,00;IL;España;1;4;10;2006;3;1;marzo;Condimentos;Condimentos de Louisiana Northwind Traders;Compañía J;0;167,20
42;24/03/2006;María González;Compañía J;Galletas de chocolate surtidas Northwind Traders;92,00;IL;España;1;19;10;2006;3;1;marzo;Productos horneados;Galletas de chocolate surtidas Northwind Traders;Compañía J;0;53,36
45;07/04/2006;María González;Compañía BB;Sopa de almejas Northwind Traders;482,50;TN;España;1;41;28;2006;4;2;abril;Sopas;Sopa de almejas Northwind Traders;Compañía BB;1;313,63
45;07/04/2006;María González;Compañía BB;Carne de cangrejo Northwind Traders;920,00;TN;España;1;40;28;2006;4;2;abril;Carne enlatada;Carne de cangrejo Northwind Traders;Compañía BB;1;598,00
46;05/04/2006;Humberto Acevedo;Compañía I;Ravioli Northwind Traders;1950,00;UT;España;7;57;9;2006;4;2;abril;Pasta;Ravioli Northwind Traders;Compañía I;1;1638,00
46;05/04/2006;Humberto Acevedo;Compañía I;Mozzarella Northwind Traders;1740,00;UT;España;7;72;9;2006;4;2;abril;Productos lácteos;Mozzarella Northwind Traders;Compañía I;1;1322,40
47;08/04/2006;Juan Carlos Rivas;Compañía F;Cerveza Northwind Traders;4200,00;WI;España;6;34;6;2006;4;2;abril;Bebidas;Cerveza Northwind Traders;Compañía F;1;2436,00
48;05/04/2006;María Jesús Cuesta;Compañía H;Salsa curry Northwind Traders;1000,00;OR;España;4;8;8;2006;4;2;abril;Salsas;Salsa curry Northwind Traders;Compañía H;1;580,00
48;05/04/2006;María Jesús Cuesta;Compañía H;Galletas de chocolate surtidas Northwind Traders;230,00;OR;España;4;19;8;2006;4;2;abril;Productos horneados;Galletas de chocolate surtidas Northwind Traders;Compañía H;1;174,80
50;05/04/2006;Francisco Chaves;Compañía Y;Bollos de pan Northwind Traders;200,00;IL;España;9;21;25;2006;4;2;abril;Productos horneados;Bollos de pan Northwind Traders;Compañía Y;1;152,00
51;05/04/2006;Francisco Chaves;Compañía Z;Aceite de oliva Northwind Traders;533,75;FL;España;9;5;26;2006;4;2;abril;Aceite;Aceite de oliva Northwind Traders;Compañía Z;1;309,58
51;05/04/2006;Francisco Chaves;Compañía Z;Sopa de almejas Northwind Traders;289,50;FL;España;9;41;26;2006;4;2;abril;Sopas;Sopa de almejas Northwind Traders;Compañía Z;1;220,02
51;05/04/2006;Francisco Chaves;Compañía Z;Carne de cangrejo Northwind Traders;552,00;FL;España;9;40;26;2006;4;2;abril;Carne enlatada;Carne de cangrejo Northwind Traders;Compañía Z;1;419,52
56;03/04/2006;Jesús Escolar;Compañía F;Chocolate Northwind Traders;127,50;WI;España;2;48;6;2006;4;2;abril;Golosinas;Chocolate Northwind Traders;Compañía F;1;73,95
55;05/04/2006;María González;Compañía CC;Cerveza Northwind Traders;1218,00;CO;España;1;34;29;2006;4;2;abril;Bebidas;Cerveza Northwind Traders;Compañía CC;1;791,70
79;23/06/2006;Jesús Escolar;Compañía F;Peras secas Northwind Traders;900,00;WI;España;2;7;6;2006;6;2;junio;Frutos secos;Peras secas Northwind Traders;Compañía F;0;522,00
79;23/06/2006;Jesús Escolar;Compañía F;Manzanas secas Northwind Traders;1590,00;WI;España;2;51;6;2006;6;2;junio;Frutos secos;Manzanas secas Northwind Traders;Compañía F;0;1033,50
78;05/06/2006;María González;Compañía CC;Macedonia Northwind Traders;1560,00;CO;España;1;17;29;2006;6;2;junio;Frutas y verduras enlatadas;Macedonia Northwind Traders;Compañía CC;0;1310,40
77;05/06/2006;Francisco Chaves;Compañía Z;Mermelada de moras y frambuesas Northwind Traders;2250,00;FL;España;9;6;26;2006;6;2;junio;Mermeladas y confituras;Mermelada de moras y frambuesas Northwind Traders;Compañía Z;0;1890,00
76;05/06/2006;Francisco Chaves;Compañía Y;Condimentos de Louisiana Northwind Traders;660,00;IL;España;9;4;25;2006;6;2;junio;Condimentos;Condimentos de Louisiana Northwind Traders;Compañía Y;0;501,60
75;05/06/2006;María Jesús Cuesta;Compañía H;Chocolate Northwind Traders;510,00;OR;España;4;48;8;2006;6;2;junio;Golosinas;Chocolate Northwind Traders;Compañía H;0;295,80
74;08/06/2006;Juan Carlos Rivas;Compañía F;Chocolate Northwind Traders;510,00;WI;España;6;48;6;2006;6;2;junio;Golosinas;Chocolate Northwind Traders;Compañía F;0;387,60
73;05/06/2006;Humberto Acevedo;Compañía I;Sopa de almejas Northwind Traders;96,50;UT;España;7;41;9;2006;6;2;junio;Sopas;Sopa de almejas Northwind Traders;Compañía I;0;81,06
72;07/06/2006;María González;Compañía BB;Café Northwind Traders;230,00;TN;España;1;43;28;2006;6;2;junio;Bebidas;Café Northwind Traders;Compañía BB;0;174,80
71;24/05/2006;María González;Compañía A;Carne de cangrejo Northwind Traders;736,00;Madrid;España;1;40;1;2006;5;2;mayo;Carne enlatada;Carne de cangrejo Northwind Traders;Compañía A;2;426,88
70;24/05/2006;María González;Compañía K;Salsa curry Northwind Traders;800,00;FL;España;1;8;11;2006;5;2;mayo;Salsas;Salsa curry Northwind Traders;Compañía K;2;520,00
69;24/05/2006;María González;Compañía J;Ciruelas pasas Northwind Traders;52,50;IL;España;1;80;10;2006;5;2;mayo;Frutos secos;Ciruelas pasas Northwind Traders;Compañía J;2;30,45
67;24/05/2006;María Jesús Cuesta;Compañía J;Almendras Northwind Traders;200,00;IL;España;4;74;10;2006;5;2;mayo;Frutos secos;Almendras Northwind Traders;Compañía J;2;168,00
