Country;Salesperson;Order Date;OrderID;Order Amount
UK;Suyama;10/07/2003;10249;1863,40
USA;Peacock;11/07/2003;10252;3597,90
USA;Peacock;12/07/2003;10250;1552,60
UK;Dodsworth;15/07/2003;10255;2490,50
USA;Leverling;15/07/2003;10251;654,06
UK;Buchanan;16/07/2003;10248;440,00
USA;Leverling;16/07/2003;10253;1444,80
USA;Leverling;17/07/2003;10256;517,80
USA;Peacock;22/07/2003;10257;1119,90
UK;Buchanan;23/07/2003;10254;556,62
USA;Davolio;23/07/2003;10258;1614,88
USA;Callahan;25/07/2003;10262;584,00
USA;Peacock;25/07/2003;10259;100,80
USA;Peacock;29/07/2003;10260;1504,65
USA;Peacock;30/07/2003;10261;448,00
UK;Dodsworth;31/07/2003;10263;1873,80
USA;Leverling;31/07/2003;10266;346,56
USA;Callahan;02/08/2003;10268;1101,20
USA;Davolio;02/08/2003;10270;1376,00
USA;Peacock;06/08/2003;10267;3536,60
UK;Suyama;06/08/2003;10272;1456,00
UK;Buchanan;09/08/2003;10269;642,20
USA;Davolio;09/08/2003;10275;291,84
USA;Fuller;12/08/2003;10265;1176,00
USA;Leverling;12/08/2003;10273;2037,28
USA;Fuller;13/08/2003;10277;1200,80
USA;Callahan;14/08/2003;10276;420,00
USA;Callahan;16/08/2003;10278;1488,80
USA;Callahan;16/08/2003;10279;351,00
UK;Suyama;16/08/2003;10274;538,60
USA;Peacock;21/08/2003;10281;86,50
USA;Peacock;21/08/2003;10282;155,40
USA;Leverling;23/08/2003;10283;1414,80
UK;Suyama;23/08/2003;10264;695,62
USA;Davolio;26/08/2003;10285;1743,36
USA;Peacock;27/08/2003;10284;1170,37
USA;Callahan;28/08/2003;10287;819,00
UK;King;28/08/2003;10289;479,40
USA;Callahan;30/08/2003;10286;3016,00
UK;Suyama;30/08/2003;10271;48,00
USA;Davolio;02/09/2003;10292;1296,00
USA;Callahan;03/09/2003;10290;2169,00
USA;Peacock;03/09/2003;10288;80,10
UK;Suyama;04/09/2003;10291;497,52
USA;Peacock;05/09/2003;10294;1887,60
UK;Buchanan;10/09/2003;10297;1420,00
USA;Fuller;10/09/2003;10295;121,60
USA;Davolio;11/09/2003;10293;848,70
UK;Suyama;11/09/2003;10296;1050,60
UK;Suyama;11/09/2003;10298;2645,00
USA;Fuller;12/09/2003;10280;613,20
USA;Peacock;13/09/2003;10299;349,50
USA;Callahan;17/09/2003;10301;755,00
USA;Davolio;17/09/2003;10304;954,40
USA;Fuller;18/09/2003;10300;608,00
UK;King;18/09/2003;10303;1117,80
USA;Davolio;23/09/2003;10306;498,50
UK;King;24/09/2003;10308;88,80
USA;Fuller;25/09/2003;10307;424,00
USA;Davolio;26/09/2003;10311;268,80
USA;Callahan;27/09/2003;10310;336,00
USA;Fuller;03/10/2003;10312;1614,80
USA;Peacock;03/10/2003;10315;516,80
USA;Callahan;04/10/2003;10318;240,40
USA;Davolio;04/10/2003;10314;2094,30
USA;Fuller;04/10/2003;10313;182,40
USA;Davolio;08/10/2003;10316;2835,00
USA;Callahan;09/10/2003;10305;3741,30
USA;Peacock;09/10/2003;10302;2708,80
UK;Dodsworth;10/10/2003;10324;5275,71
UK;Suyama;10/10/2003;10317;288,00
UK;King;11/10/2003;10319;1191,20
USA;Leverling;11/10/2003;10321;144,00
USA;Davolio;14/10/2003;10325;1497,00
USA;Fuller;14/10/2003;10327;1810,00
USA;Peacock;14/10/2003;10323;164,40
USA;Peacock;14/10/2003;10326;982,00
USA;Peacock;17/10/2003;10328;1168,00
UK;Buchanan;18/10/2003;10320;516,00
UK;Dodsworth;21/10/2003;10331;88,50
USA;Leverling;21/10/2003;10332;1786,88
UK;King;23/10/2003;10322;112,00
USA;Leverling;23/10/2003;10309;1762,00
USA;Peacock;23/10/2003;10329;4578,43
UK;King;24/10/2003;10335;2036,16
UK;Buchanan;25/10/2003;10333;877,20
UK;King;25/10/2003;10336;285,12
USA;Callahan;28/10/2003;10334;144,80
USA;Leverling;28/10/2003;10330;1649,00
USA;Peacock;29/10/2003;10337;2467,00
USA;Peacock;29/10/2003;10338;934,50
USA;Fuller;04/11/2003;10339;3354,00
USA;Peacock;04/11/2003;10342;1840,64
UK;King;05/11/2003;10341;352,60
USA;Peacock;05/11/2003;10344;2296,00
USA;Peacock;06/11/2003;10343;1584,00
USA;Davolio;08/11/2003;10340;2436,18
